a,b,cat_a,cat_b,same_cat,spread_mean,spread_std,drift_d2_d4,corr,halflife,pnl,n_trades,n_wins,winrate
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS,GALAXY_SOUNDS,1,-1240.2102666666667,1016.3947104699346,-3193.0,-0.008066705340676893,8900.84757473929,15630.0,27,21,0.7777777777777778
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS,GALAXY_SOUNDS,1,-540.0113666666666,689.86505274882,616.0,0.43421141924059614,3526.7810483333355,-17440.0,20,13,0.65
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS,GALAXY_SOUNDS,1,-210.88215,638.5625495880396,17.0,-0.01568085677828358,2616.4526834991466,1685.0,27,20,0.7407407407407407
GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS,GALAXY_SOUNDS,1,-865.9098833333334,564.5321284515048,-558.5,-0.022533526267267835,1774.6326641797014,7340.0,28,22,0.7857142857142857
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_SUEDE,GALAXY_SOUNDS,SLEEP_POD,0,-1170.7586166666667,854.369629234962,-1536.0,0.3180217919814888,3691.1311665210546,16150.0,26,17,0.6538461538461539
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_LAMB_WOOL,GALAXY_SOUNDS,SLEEP_POD,0,-474.7799,611.9815321336558,-543.5,-0.3456736367127319,2283.456109194403,22025.0,32,28,0.875
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_POLYESTER,GALAXY_SOUNDS,SLEEP_POD,0,-1613.8991333333333,923.4884207499567,-1705.0,0.32803110767984434,3557.7932448911333,19815.0,27,20,0.7407407407407407
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_NYLON,GALAXY_SOUNDS,SLEEP_POD,0,590.18925,693.7174433990427,-470.0,-0.33611072709135575,3888.0371248622428,26090.0,34,27,0.7941176470588235
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_COTTON,GALAXY_SOUNDS,SLEEP_POD,0,-1300.95215,876.4492994760417,-1149.5,0.22001005060037448,3610.3264962103412,7205.0,22,17,0.7727272727272727
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_CIRCLE,GALAXY_SOUNDS,MICROCHIP,0,1011.7765333333333,780.8247859342808,-124.0,-0.6154828143888961,4679.389401498163,1235.0,24,17,0.7083333333333334
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_OVAL,GALAXY_SOUNDS,MICROCHIP,0,2047.0631,1572.9084715959762,4745.5,0.04254428242204863,21641.395984936382,28240.0,30,24,0.8
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_SQUARE,GALAXY_SOUNDS,MICROCHIP,0,-3368.0864833333335,1729.221854036944,-3368.5,0.38733296154441943,4548.6679912657955,34580.0,33,25,0.7575757575757576
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_RECTANGLE,GALAXY_SOUNDS,MICROCHIP,0,1494.2224666666666,945.8719445174643,1492.5,-0.44192551956496917,3533.359159770319,30290.0,34,27,0.7941176470588235
GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_TRIANGLE,GALAXY_SOUNDS,MICROCHIP,0,540.2707333333333,815.9497274976334,2323.0,0.2504965358481086,4214.413362606148,40845.0,34,29,0.8529411764705882
GALAXY_SOUNDS_DARK_MATTER,PEBBLES_XS,GALAXY_SOUNDS,PEBBLES,0,2822.02205,1551.1776458298164,4226.5,-0.20410654062557013,6283.521496796485,21460.0,28,22,0.7857142857142857
GALAXY_SOUNDS_DARK_MATTER,PEBBLES_S,GALAXY_SOUNDS,PEBBLES,0,1294.3050833333334,874.3672136365207,2198.0,0.07108701663482508,2961.8820164974786,39465.0,32,27,0.84375
GALAXY_SOUNDS_DARK_MATTER,PEBBLES_M,GALAXY_SOUNDS,PEBBLES,0,-36.58136666666667,730.6626825214666,-437.5,0.10676448420430154,2256.2654503493773,24855.0,34,26,0.7647058823529411
GALAXY_SOUNDS_DARK_MATTER,PEBBLES_L,GALAXY_SOUNDS,PEBBLES,0,52.551233333333336,629.1350060666462,1138.5,0.2449776918242948,1895.8819668740596,11075.0,27,20,0.7407407407407407
GALAXY_SOUNDS_DARK_MATTER,PEBBLES_XL,GALAXY_SOUNDS,PEBBLES,0,-2998.9275,1805.0672361421193,-5803.5,0.006044124061280888,4234.122614115647,34755.0,34,24,0.7058823529411765
GALAXY_SOUNDS_DARK_MATTER,ROBOT_VACUUMING,GALAXY_SOUNDS,ROBOT,0,1059.8860333333334,666.697628998033,1989.5,-0.13738151093015372,3122.531166428123,21620.0,31,23,0.7419354838709677
GALAXY_SOUNDS_DARK_MATTER,ROBOT_MOPPING,GALAXY_SOUNDS,ROBOT,0,-873.5514166666667,730.8818166078515,-1323.0,0.3226095826864047,3005.922273152518,7435.0,26,17,0.6538461538461539
GALAXY_SOUNDS_DARK_MATTER,ROBOT_DISHES,GALAXY_SOUNDS,ROBOT,0,208.34691666666666,660.2765383462395,-935.5,-0.04554985214222487,1600.5069821051907,32620.0,33,28,0.8484848484848485
GALAXY_SOUNDS_DARK_MATTER,ROBOT_LAUNDRY,GALAXY_SOUNDS,ROBOT,0,403.9001166666667,675.3383841810858,1010.0,0.07545310341949865,3268.196352177375,50185.0,39,33,0.8461538461538461
GALAXY_SOUNDS_DARK_MATTER,ROBOT_IRONING,GALAXY_SOUNDS,ROBOT,0,1525.09155,887.6217482183861,2434.5,-0.1648148502495975,4127.309367897538,-2475.0,32,26,0.8125
GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,GALAXY_SOUNDS,UV_VISOR,0,-730.7989333333334,477.3424751393862,193.5,0.7680734649520886,1492.5391963368115,47425.0,37,30,0.8108108108108109
GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_AMBER,GALAXY_SOUNDS,UV_VISOR,0,2314.9655666666667,1116.1763018064598,3134.5,-0.21639629790540385,5332.765708115572,24685.0,30,25,0.8333333333333334
GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_ORANGE,GALAXY_SOUNDS,UV_VISOR,0,-199.8444,657.4204307407146,924.0,-0.05406556774486835,3466.331157281457,-10855.0,28,18,0.6428571428571429
