a,b,cat_a,cat_b,same_cat,spread_std,drift_d2_d4,in_sample_pnl,in_sample_n,oos_d4_pnl,oos_d4_n,oos_d4_w,oos_winrate,robustness
SLEEP_POD_POLYESTER,MICROCHIP_TRIANGLE,SLEEP_POD,MICROCHIP,0,1634.92379803932,4028.0,61360.0,45,49475.0,28,27,0.9642857142857144,0.8063070404172099
MICROCHIP_CIRCLE,PEBBLES_XL,MICROCHIP,PEBBLES,0,1565.344073589062,-5679.5,107145.0,41,45030.0,16,14,0.875,0.4202715945681086
MICROCHIP_RECTANGLE,TRANSLATOR_VOID_BLUE,MICROCHIP,TRANSLATOR,0,1205.2695113803384,-2792.0,38225.0,39,33450.0,21,19,0.9047619047619048,0.8750817527795945
SLEEP_POD_SUEDE,PEBBLES_M,SLEEP_POD,PEBBLES,0,740.1977873902607,1098.5,46625.0,37,32345.0,16,15,0.9375,0.6937265415549598
ROBOT_DISHES,UV_VISOR_RED,ROBOT,UV_VISOR,0,481.86006961281447,-522.5,45115.0,30,31670.0,14,13,0.9285714285714286,0.7019838191288928
MICROCHIP_OVAL,PEBBLES_XS,MICROCHIP,PEBBLES,0,770.3262334815669,-519.0,56025.0,45,31560.0,24,22,0.9166666666666666,0.5633199464524766
PANEL_1X2,PANEL_2X4,PANEL,PANEL,1,803.8571778039505,-2657.5,35430.0,40,29865.0,19,18,0.9473684210526316,0.8429297205757832
GALAXY_SOUNDS_PLANETARY_RINGS,MICROCHIP_SQUARE,GALAXY_SOUNDS,MICROCHIP,0,1441.9194204771477,-3984.5,29295.0,28,29830.0,11,10,0.9090909090909092,1.01826250213347
ROBOT_VACUUMING,SNACKPACK_RASPBERRY,ROBOT,SNACKPACK,0,575.4407548640605,-2025.5,49145.0,50,29795.0,28,27,0.9642857142857144,0.6062671685827653
PEBBLES_S,PANEL_2X2,PEBBLES,PANEL,0,609.6678146043494,-1326.5,51360.0,43,26755.0,18,17,0.9444444444444444,0.5209306853582555
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_GARLIC,GALAXY_SOUNDS,OXYGEN_SHAKE,0,457.7985452182722,-428.5,27415.0,34,23480.0,18,16,0.8888888888888888,0.856465438628488
SLEEP_POD_LAMB_WOOL,SNACKPACK_VANILLA,SLEEP_POD,SNACKPACK,0,393.6190779392824,483.0,21925.0,36,21965.0,18,15,0.8333333333333334,1.001824401368301
TRANSLATOR_GRAPHITE_MIST,PANEL_4X4,TRANSLATOR,PANEL,0,418.6807383215678,664.0,27275.0,38,20800.0,19,16,0.8421052631578947,0.7626031164069661
SLEEP_POD_COTTON,PEBBLES_L,SLEEP_POD,PEBBLES,0,779.9450092454509,2288.0,10565.0,27,19980.0,14,12,0.8571428571428571,1.8911500236630383
ROBOT_LAUNDRY,UV_VISOR_AMBER,ROBOT,UV_VISOR,0,696.1446291717195,2124.5,37725.0,42,19140.0,15,15,1.0,0.5073558648111332
OXYGEN_SHAKE_EVENING_BREATH,SNACKPACK_STRAWBERRY,OXYGEN_SHAKE,SNACKPACK,0,533.9668856940007,-1481.5,31430.0,40,18590.0,15,12,0.8,0.5914731148584155
ROBOT_IRONING,TRANSLATOR_ECLIPSE_CHARCOAL,ROBOT,TRANSLATOR,0,767.5726638497403,-1894.5,39935.0,40,18365.0,17,15,0.8823529411764706,0.4598722924752723
GALAXY_SOUNDS_DARK_MATTER,TRANSLATOR_SPACE_GRAY,GALAXY_SOUNDS,TRANSLATOR,0,507.2989655531823,1835.5,19460.0,29,17745.0,14,11,0.7857142857142857,0.9118705035971224
GALAXY_SOUNDS_SOLAR_FLAMES,SNACKPACK_PISTACHIO,GALAXY_SOUNDS,SNACKPACK,0,471.9145171600677,1710.0,13635.0,35,17450.0,22,20,0.9090909090909092,1.2797946461312797
TRANSLATOR_ASTRO_BLACK,OXYGEN_SHAKE_MORNING_BREATH,TRANSLATOR,OXYGEN_SHAKE,0,488.4510138521225,-587.0,27370.0,33,13245.0,12,9,0.75,0.4839240043843624
SLEEP_POD_NYLON,OXYGEN_SHAKE_CHOCOLATE,SLEEP_POD,OXYGEN_SHAKE,0,380.6117044577219,20.5,25365.0,31,11320.0,10,8,0.8,0.4462842499507194
ROBOT_MOPPING,UV_VISOR_MAGENTA,ROBOT,UV_VISOR,0,597.6502508462248,56.0,5215.0,30,6935.0,12,9,0.75,1.329817833173538
PANEL_1X4,SNACKPACK_CHOCOLATE,PANEL,SNACKPACK,0,714.4898373195606,-434.5,6220.0,27,3625.0,11,8,0.7272727272727273,0.5827974276527331
