sym,informed_rate
GALAXY_SOUNDS_SOLAR_FLAMES,0.45582047685834504
MICROCHIP_OVAL,0.4694244604316547
TRANSLATOR_SPACE_GRAY,0.47531734837799716
PEBBLES_XS,0.47709320695102686
ROBOT_LAUNDRY,0.4777158774373259
TRANSLATOR_ECLIPSE_CHARCOAL,0.4783216783216783
SLEEP_POD_POLYESTER,0.4783821478382148
GALAXY_SOUNDS_SOLAR_WINDS,0.4789325842696629
PEBBLES_XL,0.4797507788161994
GALAXY_SOUNDS_BLACK_HOLES,0.4811188811188811
MICROCHIP_TRIANGLE,0.48566308243727596
SLEEP_POD_SUEDE,0.4880450070323488
UV_VISOR_AMBER,0.4922425952045134
OXYGEN_SHAKE_EVENING_BREATH,0.49336283185840707
PEBBLES_S,0.4937106918238994
OXYGEN_SHAKE_MINT,0.4943820224719101
PANEL_2X4,0.49511854951185497
GALAXY_SOUNDS_PLANETARY_RINGS,0.49719887955182074
MICROCHIP_RECTANGLE,0.49731663685152055
MICROCHIP_SQUARE,0.49822695035460995
SNACKPACK_RASPBERRY,0.4992947813822285
OXYGEN_SHAKE_MORNING_BREATH,0.5006954102920723
PANEL_4X4,0.5007032348804501
ROBOT_IRONING,0.5011933174224343
TRANSLATOR_VOID_BLUE,0.5013927576601671
UV_VISOR_MAGENTA,0.5028169014084507
MICROCHIP_CIRCLE,0.5045372050816697
ROBOT_VACUUMING,0.5049226441631505
SNACKPACK_VANILLA,0.5063649222065064
SNACKPACK_STRAWBERRY,0.5063829787234042
ROBOT_DISHES,0.5064695009242144
PEBBLES_L,0.5079113924050633
PANEL_1X4,0.5085227272727273
SLEEP_POD_COTTON,0.5090152565880721
SNACKPACK_PISTACHIO,0.5092724679029957
PANEL_1X2,0.5098039215686274
GALAXY_SOUNDS_DARK_MATTER,0.5105189340813464
SNACKPACK_CHOCOLATE,0.5105782792665726
UV_VISOR_ORANGE,0.5112359550561798
PANEL_2X2,0.5133239831697055
SLEEP_POD_LAMB_WOOL,0.5133614627285513
UV_VISOR_RED,0.5138504155124654
TRANSLATOR_ASTRO_BLACK,0.5148095909732017
SLEEP_POD_NYLON,0.5175808720112518
ROBOT_MOPPING,0.5187760778859527
OXYGEN_SHAKE_GARLIC,0.5237430167597765
OXYGEN_SHAKE_CHOCOLATE,0.5281803542673108
TRANSLATOR_GRAPHITE_MIST,0.5406162464985994
PEBBLES_M,0.5414710485133021
UV_VISOR_YELLOW,0.5439330543933054
